path,class_index
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1032).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1033).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1034).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1035).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1036).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1037).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1038).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1039).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (104).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1040).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1041).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1042).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1043).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1044).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1045).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1046).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1047).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1048).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1049).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (105).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1050).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1051).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1052).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1053).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1054).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1055).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1056).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1057).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1058).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1059).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (106).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1060).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1061).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1062).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1063).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1064).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1065).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1066).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1067).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1068).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1069).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (107).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1070).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1071).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1072).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1073).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1074).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1075).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1076).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1077).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1078).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1079).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (108).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1080).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1081).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1082).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1083).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1084).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1085).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1086).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1087).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1088).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1089).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (109).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1090).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1091).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1092).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1093).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1094).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1095).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1096).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1097).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1098).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1099).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (11).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (110).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1100).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1101).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1102).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1103).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1104).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1105).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1106).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1107).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1108).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1109).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (111).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1110).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1111).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1112).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1113).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1114).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1115).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1116).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1117).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1118).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1119).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (112).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1120).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1121).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1122).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1123).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1124).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1125).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1126).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1127).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1128).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1129).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (113).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1130).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1131).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1132).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1133).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1134).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1135).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1136).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1137).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1138).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1139).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (114).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1140).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1141).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1142).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1143).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1144).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1145).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1146).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1147).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1148).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1149).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (115).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1150).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1151).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1152).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1153).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1154).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1155).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1156).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1157).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1158).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1159).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (116).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1160).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1161).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1162).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1163).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1164).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1165).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1166).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1167).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1168).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1169).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (117).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1170).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1171).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1172).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1173).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1174).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1175).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1176).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1177).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1178).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1179).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (118).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1180).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1181).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1182).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1183).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1184).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1185).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1186).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1187).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1188).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1189).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (119).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1190).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1191).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1192).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1193).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1194).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1195).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1196).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1197).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1198).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1199).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (12).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (120).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1200).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1201).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1202).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1203).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1204).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1205).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1206).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1207).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1208).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1209).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (121).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1210).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1211).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1212).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1213).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1214).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1215).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1216).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1217).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1218).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1219).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (122).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1220).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1221).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1222).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1223).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1224).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1225).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1226).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1227).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1228).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1229).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (123).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1230).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1231).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1232).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1233).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1234).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1235).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1236).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1237).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1238).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1239).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (124).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1240).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1241).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1242).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1243).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1244).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1245).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1246).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1247).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1248).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1249).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (125).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1250).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1251).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1252).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1253).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1254).png,1
/content/drive/MyDrive/1 WCEBleedGen Challenge/Training set/bleeding/Images/img- (1255).png,1
